month,sell_date,expiry,side,spot,strike,settle,eth_move,iv,premium_pct,size_eth,notional,size_x,premium,payoff,pnl,cum_pnl,deficit_after,worst_intramonth_loss
2023-01,2022-12-30,2023-01-27,PUT,1187.8100,1200,1582.8900,0.3326,0.5629,0.0677,8.4189,10000.0000,1.0000,667.4125,0.0000,667.4125,667.4125,0.0000,118.0100
2023-02,2023-01-27,2023-02-24,PUT,1582.8900,1600,1652.6300,0.0441,0.5888,0.0709,6.3176,10000.0000,1.0000,698.7612,0.0000,698.7612,1366.1737,0.0000,304.0766
2023-03,2023-02-24,2023-03-31,PUT,1652.6300,1700,1789.1800,0.0826,0.5475,0.0838,6.0510,10000.0000,1.0000,826.6496,0.0000,826.6496,2192.8233,0.0000,1235.8821
2023-04,2023-03-31,2023-04-28,PUT,1789.1800,1800,1919.5000,0.0728,0.5913,0.0685,5.5892,10000.0000,1.0000,675.4280,0.0000,675.4280,2868.2513,0.0000,97.5505
2023-05,2023-04-28,2023-05-26,PUT,1919.5000,1900,1813.7400,-0.0551,0.4894,0.0488,5.2097,10000.0000,1.0000,480.3945,450.8052,29.5893,2897.8406,0.0000,484.0929
2023-06,2023-05-26,2023-06-30,CALL,1813.7400,1800,1883.9000,0.0387,0.4147,0.0549,5.5135,10000.0000,1.0000,540.2394,464.1381,76.1013,2973.9418,0.0000,485.5833
2023-07,2023-06-30,2023-07-28,PUT,1883.9000,1900,1860.7100,-0.0123,0.3844,0.0470,5.3081,10000.0000,1.0000,462.7423,210.0383,252.7040,3226.6459,0.0000,260.2808
2023-08,2023-07-28,2023-08-25,CALL,1860.7100,1850,1650.6000,-0.1129,0.3192,0.0381,5.3743,10000.0000,1.0000,374.2875,0.0000,374.2875,3600.9334,0.0000,105.8206
2023-09,2023-08-25,2023-09-29,CALL,1650.6000,1650,1679.5600,0.0175,0.3193,0.0396,6.0584,10000.0000,1.0000,389.0206,180.6127,208.4079,3809.3413,0.0000,429.6230
2023-10,2023-09-29,2023-10-27,PUT,1679.5600,1700,1783.3100,0.0618,0.3217,0.0422,5.9539,10000.0000,1.0000,414.4273,0.0000,414.4273,4223.7685,0.0000,686.2185
2023-11,2023-10-27,2023-11-24,PUT,1783.3100,1800,2073.5900,0.1628,0.4326,0.0528,5.6076,10000.0000,1.0000,519.8576,0.0000,519.8576,4743.6261,0.0000,144.6448
2023-12,2023-11-24,2023-12-29,PUT,2073.5900,2100,2344.9000,0.1308,0.4967,0.0683,4.8226,10000.0000,1.0000,672.9079,0.0000,672.9079,5416.5340,0.0000,224.4254
2024-01,2023-12-29,2024-01-26,PUT,2344.9000,2350,2201.4400,-0.0612,0.6229,0.0699,4.2646,10000.0000,1.0000,689.0519,634.9534,54.0985,5470.6325,0.0000,833.5074
2024-02,2024-01-26,2024-02-23,CALL,2201.4400,2200,2933.2600,0.3324,0.4098,0.0456,4.5425,10000.0000,1.0000,448.0841,3332.8185,-2884.7343,2585.8982,2884.7343,3358.0609
2024-03,2024-02-23,2024-03-29,PUT,2933.2600,2900,3535.7200,0.2054,0.5539,0.0624,19.3988,56901.7628,5.6902,3499.7932,0.0000,3499.7932,6085.6913,0.0000,505.8542
2024-04,2024-03-29,2024-04-26,PUT,3535.7200,3550,3137.4600,-0.1126,0.7352,0.0833,2.8283,10000.0000,1.0000,821.6187,1168.1090,-346.4903,5739.2010,346.4903,1331.9042
2024-05,2024-04-26,2024-05-31,CALL,3137.4600,3100,3731.9700,0.1895,0.6048,0.0803,4.5819,14375.6574,1.4376,1138.3491,2898.2144,-1759.8653,3979.3358,2106.3556,2896.3143
2024-06,2024-05-31,2024-06-28,PUT,3731.9700,3700,3433.0100,-0.0801,0.6224,0.0642,10.1348,37822.8265,3.7823,2392.3910,2711.1133,-318.7223,3660.6135,2425.0779,2437.1912
2024-07,2024-06-28,2024-07-26,CALL,3433.0100,3400,3256.9800,-0.0513,0.5765,0.0682,4.2932,14738.4978,1.4738,991.3454,0.0000,991.3454,4651.9588,1433.7325,203.1858
2024-08,2024-07-26,2024-08-30,CALL,3256.9800,3300,2523.9200,-0.2251,0.6313,0.0720,3.0703,10000.0000,1.0000,709.3141,0.0000,709.3141,5361.2729,724.4184,200.7405
